object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,evenodd,fill,fontname,linewidth,non_stroking_color,pts,size,stroke,stroking_color,text,upright
char,1,73.701,83.66359999999999,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,分,1
char,1,88.90392759999999,98.86652759999998,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,类,1
char,1,104.11681779999999,114.07941779999999,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,号,1
char,1,114.07941779999999,124.04201779999998,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,：,1
char,1,433.998,443.9606,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962600000000009,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,密,1
char,1,443.9606,453.9232,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962600000000009,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,级,1
char,1,453.9232,463.8858,745.4832734,755.4458734,86.4441266,86.4441266,96.40672659999996,9.962600000000009,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,：,1
char,1,73.701,83.66359999999999,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,论,1
char,1,83.66359999999999,93.62619999999998,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,文,1
char,1,93.6262,103.58879999999999,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,编,1
char,1,103.58879999999999,113.55139999999999,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,号,1
char,1,113.5514,123.514,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962599999999995,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,：,1
char,1,139.398,142.8945,728.24,738.74,103.14999999999998,103.14999999999998,113.64999999999998,3.4964999999999975,10.5,3.4965,,,NZCJTN+TimesNewRomanPSMT,,0,,10.5,,0,(,1
char,1,142.894,152.85660000000001,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962600000000009,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,学,1
char,1,152.85660000000001,162.81920000000002,729.1032734,739.0658734,102.8241266,102.8241266,112.78672659999995,9.962600000000009,9.962599999999952,9.9626,,,JDPDZG+SimSun,,0,,9.962599999999952,,0,号,1
char,1,162.82,166.3165,728.24,738.74,103.14999999999998,103.14999999999998,113.64999999999998,3.4964999999999975,10.5,3.4965,,,NZCJTN+TimesNewRomanPSMT,,0,,10.5,,0,),1
char,1,241.638,257.63800000000003,653.649,669.649,172.24099999999999,172.24099999999999,188.24099999999999,16.00000000000003,16.0,16.0,,,RQHLME+SimHei,,0,,16.0,,0,贵,1
char,1,273.622,289.622,653.649,669.649,172.24099999999999,172.24099999999999,188.24099999999999,16.0,16.0,16.0,,,RQHLME+SimHei,,0,,16.0,,0,州,1
char,1,305.622,321.622,653.649,669.649,172.24099999999999,172.24099999999999,188.24099999999999,16.0,16.0,16.0,,,RQHLME+SimHei,,0,,16.0,,0,大,1
char,1,337.622,353.622,653.649,669.649,172.24099999999999,172.24099999999999,188.24099999999999,16.0,16.0,16.0,,,RQHLME+SimHei,,0,,16.0,,0,学,1
char,1,205.763,213.263,636.285,651.285,190.60500000000002,190.60500000000002,205.60500000000002,7.5,15.0,7.5,,,NZCJTN+TimesNewRomanPSMT,,0,,15.0,,0,2,1
char,1,213.263,220.763,636.285,651.285,190.60500000000002,190.60500000000002,205.60500000000002,7.5,15.0,7.5,,,NZCJTN+TimesNewRomanPSMT,,0,,15.0,,0,0,1
char,1,220.763,228.263,636.285,651.285,190.60500000000002,190.60500000000002,205.60500000000002,7.5,15.0,7.5,,,NZCJTN+TimesNewRomanPSMT,,0,,15.0,,0,2,1
char,1,228.263,235.763,636.285,651.285,190.60500000000002,190.60500000000002,205.60500000000002,7.5,15.0,7.5,,,NZCJTN+TimesNewRomanPSMT,,0,,15.0,,0,1,1
char,1,239.513,254.513,637.41,652.41,189.48000000000002,189.48000000000002,204.48000000000002,15.0,15.0,15.0,,,RQHLME+SimHei,,0,,15.0,,0,届,1
